task,variant,schedule,chunk,N,K,threads,run,time,checksum
A,omp,guided,1,100000,20,4,1,0.020786,54725000
A,omp,guided,1,100000,20,4,2,0.020662,54725000
A,omp,guided,1,100000,20,4,3,0.020820,54725000
A,omp,guided,4,100000,20,4,1,0.020984,54725000
A,omp,guided,4,100000,20,4,2,0.020724,54725000
A,omp,guided,4,100000,20,4,3,0.023122,54725000
A,omp,guided,16,100000,20,4,1,0.024288,54725000
A,omp,guided,16,100000,20,4,2,0.021439,54725000
A,omp,guided,16,100000,20,4,3,0.020901,54725000
A,omp,guided,64,100000,20,4,1,0.020867,54725000
A,omp,guided,64,100000,20,4,2,0.020579,54725000
A,omp,guided,64,100000,20,4,3,0.021359,54725000
A,omp,static,0,100000,20,8,1,0.016306,54725000
A,omp,static,0,100000,20,8,2,0.017325,54725000
A,omp,static,0,100000,20,8,3,0.017463,54725000
A,omp,dynamic,1,100000,20,8,1,0.015319,54725000
A,omp,dynamic,1,100000,20,8,2,0.016110,54725000
A,omp,dynamic,1,100000,20,8,3,0.016079,54725000
A,omp,dynamic,4,100000,20,8,1,0.014867,54725000
A,omp,dynamic,4,100000,20,8,2,0.015467,54725000
A,omp,dynamic,4,100000,20,8,3,0.014678,54725000
A,omp,dynamic,16,100000,20,8,1,0.015090,54725000
A,omp,dynamic,16,100000,20,8,2,0.015383,54725000
A,omp,dynamic,16,100000,20,8,3,0.015435,54725000
A,omp,dynamic,64,100000,20,8,1,0.014580,54725000
A,omp,dynamic,64,100000,20,8,2,0.015337,54725000
A,omp,dynamic,64,100000,20,8,3,0.033648,54725000
A,omp,guided,1,100000,20,8,1,0.016370,54725000
A,omp,guided,1,100000,20,8,2,0.015362,54725000
A,omp,guided,1,100000,20,8,3,0.015068,54725000
A,omp,guided,4,100000,20,8,1,0.016174,54725000
A,omp,guided,4,100000,20,8,2,0.014795,54725000
A,omp,guided,4,100000,20,8,3,0.017170,54725000
A,omp,guided,16,100000,20,8,1,0.018893,54725000
A,omp,guided,16,100000,20,8,2,0.015391,54725000
A,omp,guided,16,100000,20,8,3,0.015311,54725000
A,omp,guided,64,100000,20,8,1,0.018198,54725000
A,omp,guided,64,100000,20,8,2,0.016225,54725000
A,omp,guided,64,100000,20,8,3,0.016581,54725000
A,omp,static,0,100000,20,16,1,0.017376,54725000
A,omp,static,0,100000,20,16,2,0.016771,54725000
A,omp,static,0,100000,20,16,3,0.016611,54725000
A,omp,dynamic,1,100000,20,16,1,0.015518,54725000
A,omp,dynamic,1,100000,20,16,2,0.015981,54725000
A,omp,dynamic,1,100000,20,16,3,0.015704,54725000
A,omp,dynamic,4,100000,20,16,1,0.014847,54725000
A,omp,dynamic,4,100000,20,16,2,0.015593,54725000
A,omp,dynamic,4,100000,20,16,3,0.015178,54725000
A,omp,dynamic,16,100000,20,16,1,0.014900,54725000
A,omp,dynamic,16,100000,20,16,2,0.015360,54725000
A,omp,dynamic,16,100000,20,16,3,0.015161,54725000
A,omp,dynamic,64,100000,20,16,1,0.014918,54725000
A,omp,dynamic,64,100000,20,16,2,0.014865,54725000
A,omp,dynamic,64,100000,20,16,3,0.014816,54725000
A,omp,guided,1,100000,20,16,1,0.016053,54725000
A,omp,guided,1,100000,20,16,2,0.015215,54725000
A,omp,guided,1,100000,20,16,3,0.015494,54725000
A,omp,guided,4,100000,20,16,1,0.017105,54725000
A,omp,guided,4,100000,20,16,2,0.014718,54725000
A,omp,guided,4,100000,20,16,3,0.014993,54725000
A,omp,guided,16,100000,20,16,1,0.016978,54725000
A,omp,guided,16,100000,20,16,2,0.015166,54725000
A,omp,guided,16,100000,20,16,3,0.015089,54725000
A,omp,guided,64,100000,20,16,1,0.015765,54725000
A,omp,guided,64,100000,20,16,2,0.014723,54725000
A,omp,guided,64,100000,20,16,3,0.015693,54725000
A,omp,static,0,100000,24,1,1,0.449340,312551580
A,omp,static,0,100000,24,1,2,0.483111,312551580
A,omp,static,0,100000,24,1,3,0.461275,312551580
A,omp,dynamic,1,100000,24,1,1,0.449001,312551580
A,omp,dynamic,1,100000,24,1,2,0.447901,312551580
A,omp,dynamic,1,100000,24,1,3,0.450203,312551580
A,omp,dynamic,4,100000,24,1,1,0.447869,312551580
A,omp,dynamic,4,100000,24,1,2,0.447554,312551580
A,omp,dynamic,4,100000,24,1,3,0.448190,312551580
A,omp,dynamic,16,100000,24,1,1,0.447879,312551580
A,omp,dynamic,16,100000,24,1,2,0.449163,312551580
A,omp,dynamic,16,100000,24,1,3,0.450668,312551580
A,omp,dynamic,64,100000,24,1,1,0.450923,312551580
A,omp,dynamic,64,100000,24,1,2,0.447867,312551580
A,omp,dynamic,64,100000,24,1,3,0.488512,312551580
A,omp,guided,1,100000,24,1,1,0.447511,312551580
A,omp,guided,1,100000,24,1,2,0.447743,312551580
A,omp,guided,1,100000,24,1,3,0.447905,312551580
A,omp,guided,4,100000,24,1,1,0.447209,312551580
A,omp,guided,4,100000,24,1,2,0.449069,312551580
A,omp,guided,4,100000,24,1,3,0.447944,312551580
A,omp,guided,16,100000,24,1,1,0.455745,312551580
A,omp,guided,16,100000,24,1,2,0.452167,312551580
A,omp,guided,16,100000,24,1,3,0.449737,312551580
A,omp,guided,64,100000,24,1,1,0.448423,312551580
A,omp,guided,64,100000,24,1,2,0.448431,312551580
A,omp,guided,64,100000,24,1,3,0.447893,312551580
A,omp,static,0,100000,24,2,1,0.258126,312551580
A,omp,static,0,100000,24,2,2,0.230147,312551580
A,omp,static,0,100000,24,2,3,0.229397,312551580
A,omp,dynamic,1,100000,24,2,1,0.282626,312551580
A,omp,dynamic,1,100000,24,2,2,0.230844,312551580
A,omp,dynamic,1,100000,24,2,3,0.229042,312551580
A,omp,dynamic,4,100000,24,2,1,0.228991,312551580
A,omp,dynamic,4,100000,24,2,2,0.228967,312551580
A,omp,dynamic,4,100000,24,2,3,0.228952,312551580
A,omp,dynamic,16,100000,24,2,1,0.230150,312551580
A,omp,dynamic,16,100000,24,2,2,0.230092,312551580
A,omp,dynamic,16,100000,24,2,3,0.230464,312551580
A,omp,dynamic,64,100000,24,2,1,0.229202,312551580
A,omp,dynamic,64,100000,24,2,2,0.263110,312551580
A,omp,dynamic,64,100000,24,2,3,0.229291,312551580
